,user_id,mal_id,favorited
139,11,4003,1
140,11,13020,1
141,11,434,1
142,11,422,1
143,11,174185,1
144,11,24596,1
145,11,2160,1
146,11,2738,1
147,11,1879,1
148,11,1881,1
149,11,1904,1
150,11,1893,1
151,11,2111,1
152,11,2948,1
153,11,2619,1
154,11,2318,1
155,11,2,1
156,11,118,1
157,12,32,1
158,12,918,1
159,12,17074,1
160,12,18679,1
161,12,37976,1
162,12,11981,1
163,12,3,1
164,12,19,1
165,12,1210,1
166,12,26,1
167,12,339,1
168,12,3002,1
169,12,37450,1
170,12,18617,1
171,12,35120,1
172,12,11741,1
173,12,437,1
174,12,24997,1
175,12,24833,1
176,12,83367,1
177,12,83797,1
178,12,52151,1
179,12,164578,1
180,12,121595,1
181,12,38005,1
182,12,3987,1
183,12,18823,1
184,12,1259,1
185,12,94,1
186,12,164576,1
187,12,23602,1
188,12,157529,1
189,12,132505,1
190,12,115605,1
191,12,83209,1
192,12,83799,1
193,12,498,1
194,12,413,1
195,12,34,1
196,12,5111,1
197,12,5254,1
198,12,20176,1
199,12,36955,1
200,12,41713,1
201,12,1904,1
202,12,65,1
203,12,21779,1
204,12,36854,1
205,12,22,1
206,12,40497,1
207,12,118,1
208,12,11492,1
209,12,16135,1
210,12,29087,1
211,12,2410,1
212,14,2001,1
213,14,5081,1
214,14,6594,1
215,14,33352,1
216,14,12355,1
217,14,10800,1
218,14,22037,1
219,14,6356,1
220,14,28523,1
221,14,7373,1
222,14,23602,1
223,14,119413,1
224,14,185,1
225,14,99,1
226,14,61,1
227,14,2,1
228,14,113,1
229,14,6686,1
230,15,30,1
231,15,9253,1
232,15,7785,1
233,15,223,1
234,15,24439,1
235,15,323,1
236,15,36028,1
237,15,4282,1
238,15,5,1
239,15,35252,1
240,15,11772,1
241,15,89,1
242,15,3105,1
243,15,11919,1
244,15,34470,1
245,15,246,1
246,15,1260,1
247,15,2992,1
248,15,8509,1
249,15,5750,1
250,15,5068,1
251,15,4580,1
252,15,40497,1
253,15,10127,1
254,15,5111,1
255,17,1943,1
256,17,31933,1
257,17,4,1
258,17,1033,1
259,17,33095,1
260,17,22135,1
261,17,2593,1
262,17,1,1
263,17,7785,1
264,17,151972,1
265,17,3725,1
266,17,119763,1
267,17,121595,1
268,17,140105,1
269,17,150524,1
270,17,498,1
271,17,4580,1
272,17,5254,1
273,17,2619,1
274,17,1867,1
275,17,4545,1
276,17,869,1
277,17,61,1
278,18,7661,1
279,18,582,1
280,18,33,1
281,18,2904,1
282,18,1425,1
283,18,1453,1
284,18,1608,1
285,18,31741,1
286,18,8088,1
287,18,2065,1
288,18,6307,1
289,18,35149,1
290,18,30859,1
291,18,2835,1
292,18,8374,1
293,18,528,1
294,18,1893,1
295,18,530,1
296,18,416,1
297,18,8016,1
298,18,10936,1
299,19,24833,1
300,19,24439,1
301,19,20583,1
302,19,14813,1
303,19,17265,1
304,19,65643,1
305,19,153570,1
306,19,43280,1
307,19,434,1
308,19,67069,1
309,19,34785,1
310,19,118,1
311,19,8,1
312,19,1870,1
313,19,185,1
314,20,10790,1
315,20,22319,1
316,20,22535,1
317,20,4581,1
318,20,11499,1
319,20,20507,1
320,20,8841,1
321,20,8631,1
322,20,65259,1
323,20,87277,1
324,20,55165,1
325,20,43280,1
326,20,48393,1
327,20,48391,1
328,20,655,1
329,20,13639,1
330,20,158,1
331,20,869,1
332,20,11184,1
333,20,672,1
334,20,185,1
335,21,918,1
336,21,820,1
337,21,21939,1
338,21,11741,1
339,21,10271,1
340,21,263,1
341,21,35247,1
342,21,44,1
343,21,11981,1
344,21,3,1
345,21,11061,1
346,21,2011,1
347,21,672,1
348,21,3066,1
349,21,2780,1
350,21,6194,1
351,21,422,1
352,21,12778,1
353,21,5578,1
354,21,425,1
355,21,10010,1
356,21,90393,1
357,21,113,1
358,21,1874,1
359,21,65,1
